champion,games,winrate,avg_gd15,avg_dpm,avg_csd15,avg_cspm,avg_damageshare,avg_kills,avg_deaths,avg_assists,kda,wr_short_games,wr_long_games,scaling_score,early_score,carry_score,utility_score
Tahm Kench,2,0.0,86.5,199.84835,2.5,0.7849999999999999,0.07183724999999999,0.0,6.5,7.0,1.0769230769230769,,,0.0,86.5,0.07183724999999999,70.0
Ekko,1,1.0,731.0,553.2422,11.0,10.6641,0.176878,4.0,0.0,6.0,10.0,,,0.0,731.0,0.176878,1.5
Draven,1,0.0,-2422.0,571.7249,-5.0,9.876,0.238467,1.0,5.0,3.0,0.8,,,0.0,-2422.0,0.238467,3.0
Aurelion Sol,1,0.0,-192.0,464.5992,-14.0,9.4515,0.187119,3.0,2.0,2.0,2.5,,,0.0,-192.0,0.187119,0.6666666666666666
Hecarim,1,0.0,-109.0,357.3227,13.0,7.4828,0.167528,4.0,5.0,2.0,1.2,,,0.0,-109.0,0.167528,0.5
Irelia,1,0.0,-1538.0,416.2217,-11.0,9.6053,0.145449,0.0,10.0,3.0,0.3,,,0.0,-1538.0,0.145449,30.0
Lillia,1,1.0,45.0,750.6086,20.0,7.7092,0.207408,4.0,2.0,9.0,6.5,,,0.0,45.0,0.207408,2.25
Rammus,1,0.0,-459.0,239.8928,-10.0,5.5739,0.0778009,0.0,4.0,13.0,3.25,,,0.0,-459.0,0.0778009,130.0
Morgana,1,1.0,972.0,253.8146,-8.0,0.7295,0.0828996,1.0,2.0,17.0,9.0,,,0.0,972.0,0.0828996,17.0
Malzahar,1,0.0,-776.0,669.2887,-28.0,7.8138,0.211739,3.0,5.0,5.0,1.6,,,0.0,-776.0,0.211739,1.6666666666666667
Sona,1,1.0,-79.0,379.2465,-10.0,0.6648,0.0984884,0.0,1.0,19.0,19.0,,,0.0,-79.0,0.0984884,190.0
