gameid,date,team_blue,team_red,result,result_diff,golddiffat15_diff,xpdiffat15_diff,csdiffat15_diff,kills_diff,assists_diff,firstblood_diff,firsttower_diff,firstmidtower_diff,firsttothreetowers_diff,firstdragon_diff,firstherald_diff,firstbaron_diff,dragons_diff,elementaldrakes_diff,elders_diff,wpm_diff,wcpm_diff,vspm_diff,form_wr_diff,side_wr_diff,h2h_diff
LOLTMNT01_367103,2026-04-17 08:56:00,BNK FEARX,Kiwoom DRX,1,0.047028423772609795,851.419638242894,637.6568475452196,15.090956072351421,-0.24961240310077493,-1.8180878552971578,0.09250645994832035,0.27338501291989664,0.06718346253229979,0.02273901808785528,0.1136950904392765,0.043927648578811374,0.026873385012919915,-0.14366925064599467,-0.1426356589147284,-0.0010335917312661487,0.4178281653746767,0.07536542635658883,0.018184392764856838,-0.20000000000000007,0.06340579710144928,0.5
LOLTMNT01_367128,2026-04-17 10:18:08,T1,Dplus Kia,0,0.08064516129032262,21.27208976157084,-511.86956521739125,-21.02244039270687,2.2307152875175316,4.054698457223001,-0.13464235624123422,0.11290322580645162,-0.2103786816269284,0.11290322580645162,0.13604488078541377,-0.2103786816269284,0.16760168302945305,0.5617110799438991,0.4866760168302944,0.07503506311360449,0.18161037868162655,0.0012071528751753657,0.027283239831698225,0.0,0.3653846153846154,0.125
LOLTMNT01_367136,2026-04-17 11:14:57,Dplus Kia,T1,0,-0.051861702127659615,130.59242021276594,522.0691489361702,20.69348404255319,-1.7167553191489358,-2.9375,0.15691489361702127,-0.08311170212765961,0.23071808510638303,-0.08311170212765961,-0.10704787234042551,0.17819148936170215,-0.13696808510638298,-0.4414893617021276,-0.3690159574468086,-0.07247340425531915,-0.1716099734042551,-0.005638696808510701,0.0019319148936176589,0.19999999999999996,0.07777777777777772,-0.05555555555555558
LOLTMNT01_366902,2026-04-17 12:07:48,T1,Dplus Kia,0,0.0757575757575758,-58.88068181818181,-525.530303030303,-20.071969696969695,1.8977272727272734,3.2765151515151523,-0.12689393939393945,0.05492424242424243,-0.25000000000000006,0.10606060606060608,0.13068181818181818,-0.17803030303030298,0.15909090909090912,0.4810606060606062,0.4109848484848484,0.07007575757575758,0.16822367424242302,0.0032799242424241815,-0.014133901515153369,0.19999999999999996,0.27731092436974786,0.09999999999999998
LOLTMNT01_368128,2026-04-18 08:07:24,Gen.G,Hanwha Life Esports,0,0.2981818181818182,30.585454545454468,287.819393939394,-4.0933333333333355,2.623030303030305,4.88606060606061,-0.0945454545454546,0.19636363636363635,0.13696969696969696,0.13696969696969696,0.23636363636363633,-0.014545454545454639,0.19757575757575752,0.9006060606060604,0.9103030303030302,-0.009696969696969697,0.006770181818181786,0.0005673939393937566,0.07349345454545464,-0.20000000000000007,0.3416666666666667,0.5
LOLTMNT01_368133,2026-04-18 09:00:18,Hanwha Life Esports,Gen.G,1,-0.25565610859728505,95.24660633484166,-171.6357466063348,4.626696832579187,-2.0,-3.0158371040723964,0.1244343891402715,-0.15610859728506787,-0.09954751131221728,-0.09954751131221728,-0.19457013574660637,0.04751131221719451,-0.158371040723982,-0.7398190045248869,-0.748868778280543,0.009049773755656111,-0.0035932126696831546,-0.00867262443438932,-0.09508054298642499,0.4,-0.16666666666666663,-0.25
LOLTMNT01_368165,2026-04-18 10:19:42,DN SOOPers,KT Rolster,0,-0.15637530072173217,-473.9863672814755,-328.7089013632719,-5.260625501202887,-0.839615076182838,-2.2959101844426613,-0.12189254210104256,0.06255012028869289,-0.2951082598235766,-0.21491579791499604,0.1098636728147554,-0.05292702485966322,-0.17963111467522053,-0.05453087409783475,-0.07858861267040895,0.024057738572574178,0.020027024859663456,-0.07882165196471558,-0.2365302325581382,-0.8,0.047619047619047616,0.5
LOLTMNT01_367338,2026-04-18 11:10:20,KT Rolster,DN SOOPers,1,0.1803030303030303,652.0060606060606,450.8212121212121,7.846969696969697,1.040909090909091,2.6212121212121176,0.14696969696969697,-0.0318181818181818,0.3151515151515151,0.23787878787878786,-0.07878787878787874,0.08030303030303032,0.16969696969696968,0.1621212121212121,0.18636363636363606,-0.024242424242424246,-0.017079848484848004,0.08494469696969698,0.26329454545454567,0.8,0.3766233766233766,-0.16666666666666669
LOLTMNT01_368322,2026-04-19 08:06:04,HANJIN BRION,Nongshim RedForce,1,-0.15161290322580645,-668.1817204301076,-284.08172043010757,-12.296774193548387,-3.0419354838709687,-8.777419354838713,-0.21075268817204296,-0.08172043010752683,-0.24838709677419352,-0.28064516129032263,-0.0795698924731183,-0.31290322580645163,-0.052688172043010795,-0.22473118279569926,-0.19354838709677402,-0.03118279569892473,0.35030451612903324,-0.09729462365591357,0.14508354838709359,-0.4,-0.17105263157894735,0.0
LOLTMNT01_367468,2026-04-19 09:06:05,Nongshim RedForce,HANJIN BRION,1,0.11491935483870969,586.5201612903226,247.87701612903226,13.556451612903226,2.56149193548387,7.28125,0.1723790322580645,0.11088709677419356,0.2086693548387097,0.3034274193548387,0.1088709677419355,0.2711693548387097,0.019153225806451624,0.216733870967742,0.186491935483871,0.03024193548387097,-0.36086320564516194,0.10551149193548359,-0.11731199596773934,0.2,0.16666666666666669,-0.5
LOLTMNT01_368343,2026-04-19 10:01:26,HANJIN BRION,Nongshim RedForce,0,-0.14204545454545453,-572.4308712121212,-367.4839015151515,-16.21590909090909,-2.545454545454545,-7.370265151515149,-0.19791666666666663,-0.07670454545454541,-0.23295454545454541,-0.3248106060606061,-0.07481060606060608,-0.2935606060606061,-0.049242424242424254,-0.3020833333333335,-0.27272727272727293,-0.029356060606060608,0.3702673295454546,-0.1418007575757576,0.03663996212121212,-0.39999999999999997,-0.09230769230769231,0.0
LOLTMNT01_368366,2026-04-19 11:23:50,T1,Kiwoom DRX,1,0.1270053475935829,1189.1430481283423,766.7272727272727,15.965240641711228,1.3168449197860959,-0.8395721925133728,0.0026737967914438054,0.22459893048128343,-0.14705882352941174,0.14037433155080214,0.06818181818181818,-0.14705882352941174,0.17245989304812837,-0.014705882352941124,-0.08021390374331538,0.06550802139037434,0.31959037433155046,0.07925467914438489,0.06652018716577501,0.0,0.09333333333333332,0.0
