gameid,date,game,teamname,side,result,gamelength,ckpm,golddiffat15,xpdiffat15,csdiffat15,firstblood,firstdragon,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,kills,deaths,assists,wpm,wcpm,vspm,dragons,elementaldrakes,elders
LOLTMNT03_339583,2026-01-22 08:05:25,1,HANJIN BRION,Red,0,2219,1.0816,-2088.0,-1231.0,-49.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18,22,47,3.8396,1.6494,9.68,1.0,1.0,0.0
LOLTMNT03_339592,2026-01-22 09:06:13,2,Hanwha Life Esports,Blue,0,2088,0.9195,-2865.0,-2415.0,-24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,20,24,3.7356,1.9253,10.5747,1.0,1.0,0.0
LOLTMNT03_339592,2026-01-22 09:06:13,2,HANJIN BRION,Red,1,2088,0.9195,2865.0,2415.0,24.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20,12,41,4.5977,1.6667,11.3793,4.0,4.0,0.0
LOLTMNT03_339605,2026-01-22 10:02:22,3,HANJIN BRION,Blue,0,1739,0.552,-1487.0,-1098.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12,7,4.1058,1.8976,10.6613,0.0,0.0,0.0
LOLTMNT03_339605,2026-01-22 10:02:22,3,Hanwha Life Esports,Red,1,1739,0.552,1487.0,1098.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,4,36,4.0368,2.3462,12.835,4.0,4.0,0.0
LOLTMNT03_339627,2026-01-22 11:14:53,1,Gen.G,Blue,1,2075,1.1566,-2117.0,-3150.0,-19.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,18,22,45,3.5855,1.6771,10.294,2.0,2.0,0.0
LOLTMNT03_339627,2026-01-22 11:14:53,1,BNK FEARX,Red,0,2075,1.1566,2117.0,3150.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,22,18,40,4.106,1.2723,9.5422,3.0,3.0,0.0
LOLTMNT03_340003,2026-01-22 12:11:59,2,Gen.G,Blue,1,1916,1.0334,-1148.0,-1171.0,-13.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,23,10,49,4.2276,2.0042,11.5553,3.0,3.0,0.0
LOLTMNT03_340003,2026-01-22 12:11:59,2,BNK FEARX,Red,0,1916,1.0334,1148.0,1171.0,13.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,10,23,19,4.1962,1.5031,10.334,2.0,2.0,0.0
LOLTMNT03_341143,2026-01-23 08:04:55,1,T1,Blue,1,1849,0.6814,1942.0,2127.0,21.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,16,5,35,3.8615,2.1092,11.0979,4.0,4.0,0.0
LOLTMNT03_341143,2026-01-23 08:04:55,1,KT Rolster,Red,0,1849,0.6814,-1942.0,-2127.0,-21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,16,12,4.1536,1.6874,10.1568,0.0,0.0,0.0
LOLTMNT03_341150,2026-01-23 09:00:11,2,T1,Blue,1,2796,0.5794,-317.0,153.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,18,21,3.5193,1.3948,8.7983,2.0,1.0,1.0
LOLTMNT03_341150,2026-01-23 09:00:11,2,KT Rolster,Red,0,2796,0.5794,317.0,-153.0,-50.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,18,10,40,3.0043,1.8026,9.5064,5.0,4.0,1.0
LOLTMNT03_340138,2026-01-23 10:33:19,1,Kiwoom DRX,Blue,1,1806,1.3953,-4528.0,-3179.0,-28.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,26,16,68,3.5548,1.5282,9.6346,2.0,2.0,0.0
LOLTMNT03_340138,2026-01-23 10:33:19,1,Nongshim RedForce,Red,0,1806,1.3953,4528.0,3179.0,28.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,16,26,41,3.9535,1.3289,9.9003,3.0,3.0,0.0
LOLTMNT03_340145,2026-01-23 11:24:18,2,Kiwoom DRX,Blue,0,2054,1.1977,567.0,64.0,-23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,24,32,3.6514,1.1685,9.6981,1.0,1.0,0.0
LOLTMNT03_340145,2026-01-23 11:24:18,2,Nongshim RedForce,Red,1,2054,1.1977,-567.0,-64.0,23.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,24,17,69,3.3885,1.9572,11.1587,4.0,4.0,0.0
LOLTMNT03_341173,2026-01-23 12:21:14,3,Nongshim RedForce,Blue,0,2130,0.9859,-1091.0,-2033.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,21,35,3.7465,1.7183,10.3099,2.0,2.0,0.0
LOLTMNT03_341173,2026-01-23 12:21:14,3,Kiwoom DRX,Red,1,2130,0.9859,1091.0,2033.0,-14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,14,56,3.662,1.7465,10.5915,3.0,3.0,0.0
LOLTMNT03_341253,2026-01-24 08:04:56,1,DN SOOPers,Blue,0,2243,1.1235,722.0,935.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15,27,41,4.1462,2.0865,12.4922,2.0,2.0,0.0
LOLTMNT03_341253,2026-01-24 08:04:56,1,Hanwha Life Esports,Red,1,2243,1.1235,-722.0,-935.0,-26.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,27,15,79,4.3335,1.8992,12.1979,4.0,4.0,0.0
LOLTMNT03_340232,2026-01-24 09:04:12,2,DN SOOPers,Blue,1,2371,0.658,903.0,1483.0,22.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,17,9,45,4.0995,2.2775,12.248,6.0,4.0,2.0
LOLTMNT03_340232,2026-01-24 09:04:12,2,Hanwha Life Esports,Red,0,2371,0.658,-903.0,-1483.0,-22.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9,17,20,4.8587,2.0751,11.9949,0.0,0.0,0.0
LOLTMNT03_341276,2026-01-24 10:06:14,3,DN SOOPers,Blue,0,1748,0.8924,-2798.0,-1720.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8,18,17,3.6384,1.5446,9.3707,2.0,2.0,0.0
LOLTMNT03_341276,2026-01-24 10:06:14,3,Hanwha Life Esports,Red,1,1748,0.8924,2798.0,1720.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18,8,43,3.9474,1.7162,11.7391,2.0,2.0,0.0
LOLTMNT03_341342,2026-01-24 11:24:48,1,Dplus Kia,Blue,0,2034,0.7375,-329.0,-33.0,27.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6,19,13,3.7463,1.2684,9.351,2.0,2.0,0.0
LOLTMNT03_341342,2026-01-24 11:24:48,1,Gen.G,Red,1,2034,0.7375,329.0,33.0,-27.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,19,6,41,3.8643,1.9764,10.7965,3.0,3.0,0.0
LOLTMNT03_341348,2026-01-24 12:21:19,2,Gen.G,Blue,1,1817,0.8916,1462.0,616.0,23.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,22,5,56,3.7314,2.0473,11.3264,4.0,4.0,0.0
LOLTMNT03_341348,2026-01-24 12:21:19,2,Dplus Kia,Red,0,1817,0.8916,-1462.0,-616.0,-23.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5,22,12,3.3352,1.4199,8.3214,0.0,0.0,0.0
LOLTMNT03_341399,2026-01-25 08:05:39,1,BNK FEARX,Blue,0,2364,1.0914,-1143.0,117.0,-16.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,18,25,45,4.2386,1.4467,9.8223,4.0,4.0,0.0
